model,horizon,type,brier,auc,n_obs,n_rec
M1_slope,3,in-sample,0.1069,0.6977,656,88
M2_slope_curv,3,in-sample,0.1071,0.7001,656,88
M3_full_ns,3,in-sample,0.0989,0.7288,656,88
M4_db1_b2_b3,3,in-sample,0.1072,0.7025,656,88
M1_slope,6,in-sample,0.0983,0.7727,653,85
M2_slope_curv,6,in-sample,0.0982,0.7808,653,85
M3_full_ns,6,in-sample,0.0904,0.8096,653,85
M4_db1_b2_b3,6,in-sample,0.0977,0.7803,653,85
M1_slope,12,in-sample,0.0886,0.8531,647,81
M2_slope_curv,12,in-sample,0.0886,0.8608,647,81
M3_full_ns,12,in-sample,0.086,0.8701,647,81
M4_db1_b2_b3,12,in-sample,0.0885,0.8614,647,81
M1_slope,3,real-time OOS,0.1115,0.5727,592,64
M1_slope,6,real-time OOS,0.1056,0.6912,588,64
M1_slope,12,real-time OOS,0.0861,0.8238,576,64
M2_slope_curv,3,real-time OOS,0.1177,0.5154,592,64
M2_slope_curv,6,real-time OOS,0.1152,0.6199,588,64
M2_slope_curv,12,real-time OOS,0.0949,0.7473,576,64
M3_full_ns,3,real-time OOS,0.1262,0.353,592,64
M3_full_ns,6,real-time OOS,0.1182,0.462,588,64
M3_full_ns,12,real-time OOS,0.1041,0.5242,576,64
M4_db1_b2_b3,3,real-time OOS,0.1185,0.5256,592,64
M4_db1_b2_b3,6,real-time OOS,0.1142,0.6107,588,64
M4_db1_b2_b3,12,real-time OOS,0.0956,0.754,576,64
