,M0_raw_spread_h3,M0_raw_spread_h6,M0_raw_spread_h12,M1_slope_h3,M1_slope_h6,M1_slope_h12,M2_slope_curv_h3,M2_slope_curv_h6,M2_slope_curv_h12,M3_full_ns_h3,M3_full_ns_h6,M3_full_ns_h12,M4_db1_b2_b3_h3,M4_db1_b2_b3_h6,M4_db1_b2_b3_h12
1975-06-01,0.0472236639380597,,,0.04848567769722897,,,0.056396805092225666,,,0.646285044843945,,,0.07161837513890787,,
1975-07-01,0.1185458221896345,0.0021750768826998773,,0.12005897643839292,0.0006937199047247833,,0.12995551542861755,0.00022774343063079923,,0.7292287905086274,0.0005778184553727912,,0.1009297080345481,0.00010675793512515188,
1975-08-01,0.1490033315189664,0.005734389095749813,,0.1530885192869208,0.0025012359567808244,,0.16895579782664016,0.0013699931104275032,,0.7692625494712557,0.0034736344238928134,,0.14552308486690418,0.0006043164513250466,
1975-09-01,0.17730112170531898,0.012449721865120644,,0.17773056282652344,0.005780087733596017,,0.18474615719592347,0.0024606162882259922,,0.8309696003447857,0.007911447156329993,,0.1623597363919686,0.0011170543247889446,
1975-10-01,0.004778347838068165,1.687206679689971e-09,,0.00503696269229606,1.7515932424900827e-11,,0.006653337601932715,3.113432381751482e-13,,0.08971472108940637,4.013796494180795e-13,,0.014245410416595092,1.6101012489300623e-19,
1975-11-01,0.00930585578451037,5.764953193650515e-08,,0.009783355007087808,1.4902848973889238e-09,,0.01229233336424612,6.350396597966104e-11,,0.13023826072682854,1.6310172988098705e-10,,0.007055223585425266,1.9390097547648573e-12,
1975-12-01,0.003328761105649634,9.692238834265587e-10,,0.003673276476886573,1.1073438282775721e-11,,0.005182136345629857,4.0339899471492653e-13,,0.026856002821182254,3.4627881825255425e-13,,0.008557914357103227,3.0814095540184026e-18,
1976-01-01,0.0002348998093768446,6.194843034175878e-15,0.01854351001956532,0.00025045285584162155,2.5751051800794716e-18,0.01568118834858614,0.0003667564777280266,1.924573525361035e-21,0.0436044697749644,0.0035381935381798655,7.6453179352407155e-22,1.634095906810188e-101,0.00038179782993849707,6.3983590923034115e-28,0.038493944298642065
1976-02-01,0.004449709907140714,3.358948448426544e-09,0.04595231899662179,0.004883509429879102,5.74105707416132e-11,0.04226843269034956,0.006692262235600444,2.789051678865022e-12,0.10561649897471226,0.02739122747528634,2.122437795613948e-12,2.246352924474716e-63,0.005027671121378366,6.948872749812777e-15,0.11707673606890284
1976-03-01,0.0046042433582051115,3.3292037351204506e-09,0.04506877348906767,0.005011684143355023,5.950363203031592e-11,0.04143891635091574,0.006739550911361976,2.6870283199594622e-12,0.09125019015202723,0.022163831914278603,1.200482160911232e-12,5.89597527407692e-58,0.008253565515145212,3.1573870883481296e-16,0.07350696055064479
1976-04-01,0.003579967087550535,1.082512606278514e-09,0.03939507372776323,0.00419121994633057,2.1925521291048844e-11,0.037079822071918137,0.006437838884625482,3.0919908674987503e-12,0.13056122904791978,0.020733556053988498,1.4269492855657265e-12,3.210781425772023e-54,0.0037244924396498073,3.92554944874152e-14,0.1505693506567451
1976-05-01,0.02167344533767875,3.1911699928003877e-06,0.07517092145928106,0.02271681673110031,2.607241642453186e-07,0.07102940039162288,0.02702185090712926,3.285260797479879e-08,0.11107989668022761,0.10263472406199514,4.731196291745224e-08,2.22342106430155e-59,0.02374507934572878,5.777848375548748e-10,0.11097216880799576
1976-06-01,0.013259931428991168,3.9249534529692857e-07,0.05999989214869759,0.013979033976981988,1.9640098943133776e-08,0.05620335314808448,0.01702939632253835,1.632897048575038e-09,0.09408682582243527,0.05774368545925709,1.5103812427642637e-09,5.362361835838508e-57,0.021547173047115776,1.1570912721904336e-12,0.07462525223518361
1976-07-01,0.002283057543245187,1.6921279946316776e-10,0.02951825722428497,0.0025381493482286104,1.6178962018991102e-12,0.027078948189763613,0.0035773195460623297,5.3822403339869646e-14,0.07222572805095684,0.015539883995486264,2.916899280486047e-14,6.565954154828148e-71,0.0025361297811260937,6.289847971087682e-17,0.0771522815834621
1976-08-01,0.001971466812257544,1.0580028755762558e-10,0.026735314680487454,0.002292014191024262,1.152604619058247e-12,0.024889142680555285,0.00346508738501344,8.133535990357329e-14,0.08850624865077661,0.008443659221848964,2.2044877382493065e-14,1.046915922429718e-54,0.004474963375466354,2.649270945907407e-18,0.07018899550604665
1976-09-01,0.0013088318895990182,1.9568690296358515e-11,0.021835306191671896,0.0015730772863016412,1.6730617689073642e-13,0.020397491643274146,0.0025254373396692907,1.464644469329048e-14,0.09217133776716524,0.004930936121851997,2.7030033267287876e-15,3.4009853254810893e-51,0.002419265899689876,1.84538664861132e-18,0.08410550547947127
1976-10-01,0.0003312265348052868,4.4047154710630605e-14,0.012703401250990337,0.0004520396661360342,1.6386250703172054e-16,0.01209522511586718,0.0009269304108212334,3.5845568252019513e-17,0.11482770517634283,0.001316191658392405,2.8267396277872785e-18,6.956050829720367e-48,0.0006171981533623226,7.052622854498366e-21,0.12176478635721266
1976-11-01,9.569526145453692e-05,1.7268052738374407e-16,0.007708994553507524,0.00017455684522937821,8.134826127554805e-19,0.007995725209374143,0.0005810338378563462,9.699518247712372e-18,0.26639887610324087,0.00018363511739001923,1.2122631231553057e-19,5.191358065083289e-21,0.0005135504735429402,2.628451322064806e-22,0.2522010145283782
1976-12-01,0.0002370208956183924,1.0533428962851101e-14,0.010350270952226284,0.000348479991094291,4.177591710936324e-17,0.01013579115572895,0.0008044048710925818,2.6550437303267303e-17,0.137774370143476,0.00021498396227612749,2.4365688928911753e-19,1.5063135896740586e-21,0.0028320275784296366,7.150660092609785e-26,0.07222086052780113
1977-01-01,0.001128259374314805,1.116137106787986e-11,0.0184116266558422,0.0013583907465199248,8.453832984739138e-14,0.01731978219677588,0.002171163643723213,6.90585291576626e-15,0.07813089631697791,0.0029214511177055413,7.435886446813295e-16,1.1583918893008857e-44,0.0010286951545340087,4.3912097823134196e-17,0.09947712630102346
1977-02-01,0.0004660327842147363,2.1938651249514182e-13,0.012642994131301806,0.000578906087462858,7.332705447840631e-16,0.011820882011283746,0.000998006003289733,4.161157785893168e-17,0.06589771733528704,0.0017016853324763616,4.0944927764786765e-18,1.713572720839914e-54,0.0005885559350259692,1.6711353451519042e-20,0.07492575492669354
1977-03-01,0.0002168328062077626,7.208797608045302e-15,0.009082223693341628,0.0002723934322028735,1.0812587187828456e-17,0.008399087774571696,0.0004885123484239446,3.3020236720005935e-19,0.05144378038490141,0.0008373461504811209,2.1461806797082975e-20,1.273918932559311e-59,0.00042564064382104197,2.672866322273586e-24,0.04872515105234254
1977-04-01,0.0006247118665771283,8.349481535098523e-13,0.01328413011349215,0.0007876649475069108,4.2711800749646355e-15,0.012630874263771706,0.0013694326367842617,4.530328201438772e-16,0.07198334490453995,0.002163021735663308,4.984439173864422e-17,1.1994910161308315e-49,0.00108042967341338,6.518128544207222e-20,0.07181376612484196
1977-05-01,0.002749255035416879,5.86418835590592e-10,0.02325566829795515,0.003466974499935779,1.5603349750056965e-11,0.02295945307262654,0.005748234897262294,7.972546382640586e-12,0.12303777809126154,0.0070154798116632494,1.4489608430168651e-12,3.517241712549852e-33,0.005591824046705431,6.625725757142496e-15,0.11405444194022679
1977-06-01,0.0031546222609437065,1.0751750721933382e-09,0.023855944990407767,0.004006678753331184,3.462400784095887e-11,0.02375119074031498,0.006682508846223781,2.3208515278569365e-11,0.13181794790216084,0.005869437566780252,3.014620858013087e-12,6.687691468238984e-26,0.008655653464803362,4.569752011535676e-15,0.10671673314317742
1977-07-01,0.01408408559971273,6.94683045364553e-07,0.04521644406967929,0.016391044414275562,6.912673780806788e-08,0.04494611092383476,0.022781208626015407,4.308001173115081e-08,0.14165326116813398,0.029893174736051294,1.708569025007426e-08,1.2527956971425445e-26,0.019783229222064203,9.247631637304918e-10,0.14235436229281972
1977-08-01,0.04467950367498991,8.778348484407229e-05,0.07712028660820468,0.050748853326618736,2.4748518694615976e-05,0.07812220884395395,0.06547792236831573,2.942360698211648e-05,0.20439860965745638,0.06663883151859627,1.4519784448041783e-05,3.322559370405997e-14,0.08296484478379068,5.196425643361892e-07,0.16736306941023282
1977-09-01,0.08255152215835304,0.0010407574638747058,0.10450603431549188,0.09098222115052201,0.000449717352880815,0.10600506912301771,0.10992823406874569,0.0005458310567529283,0.2231546961118187,0.1293654489137988,0.00039910360552428023,7.3176294842686e-14,0.10423884490155866,0.00011507107019506704,0.22082187421655375
1977-10-01,0.1579128036905203,0.012529484433857586,0.14849775989595232,0.16553640194124702,0.007488599023519626,0.14905384458010013,0.18171763543808322,0.006937422353108726,0.21022503366856649,0.2645181335469686,0.007640670705832035,2.0182121406323363e-17,0.17370341589851135,0.0028517347002488627,0.2091359687548126
1977-11-01,0.11878775519381446,0.004627492282408146,0.12763379464165803,0.12720084772901186,0.0024520681309073314,0.1288114945082613,0.1439206721345535,0.0025902415326011516,0.20747574246849343,0.2038476785794821,0.0025922502835919207,6.95224819360211e-17,0.1430480255411543,0.0006583138430558901,0.19900597473171017
